HARGA,LT,LB,KT,KM,GARASI,KOTA
5500000000,107,311,4,3,ADA,JAKSEL
10700000000,400,300,4,3,ADA,JAKSEL
21000000000,1042,552,5,4,ADA,JAKSEL
6500000000,200,300,4,4,ADA,JAKSEL
16000000000,447,500,4,4,ADA,JAKSEL
13500000000,385,525,5,4,ADA,JAKSEL
15750000000,1060,375,3,2,ADA,JAKSEL
23000000000,558,553,8,6,ADA,JAKSEL
21000000000,1042,550,7,6,ADA,JAKSEL
19300000000,1287,700,5,3,ADA,JAKSEL
4300000000,124,187,3,3,ADA,JAKSEL
20000000000,550,650,4,4,ADA,JAKSEL
9550000000,251,288,4,4,TIDAK ADA,JAKSEL
22000000000,455,570,4,5,ADA,JAKSEL
23000000000,650,600,5,5,ADA,JAKSEL
55000000000,1500,1000,5,6,ADA,JAKSEL
17500000000,430,820,5,6,ADA,JAKSEL
8000000000,299,400,4,4,ADA,JAKSEL
4600000000,109,180,2,3,ADA,JAKSEL
15000000000,714,750,5,5,ADA,JAKSEL
18000000000,600,400,6,6,ADA,JAKSEL
1370000000,425,216,4,4,TIDAK ADA,JAKSEL
21000000000,1100,700,5,4,TIDAK ADA,JAKSEL
12000000000,315,609,5,4,ADA,JAKSEL
24300000000,1944,1944,5,4,ADA,JAKSEL
8000000000,380,450,5,5,ADA,JAKSEL
18900000000,470,660,4,4,TIDAK ADA,JAKSEL
3200000000,78,65,3,2,ADA,JAKSEL
21900000000,377,260,6,5,ADA,JAKSEL
5600000000,269,300,4,4,ADA,JAKSEL
5000000000,176,400,5,2,ADA,JAKSEL
15000000000,714,750,5,5,ADA,JAKSEL
4800000000,276,200,4,3,ADA,JAKSEL
17000000000,663,530,7,8,ADA,JAKSEL
7800000000,250,300,4,4,ADA,JAKSEL
15000000000,755,416,7,6,ADA,JAKSEL
13500000000,384,450,4,4,ADA,JAKSEL
26500000000,1047,500,5,3,ADA,JAKSEL
7500000000,170,300,4,3,ADA,JAKSEL
11900000000,239,568,4,4,ADA,JAKSEL
17500000000,477,520,4,3,ADA,JAKSEL
15500000000,633,530,5,3,ADA,JAKSEL
5500000000,188,314,4,4,ADA,JAKSEL
9900000000,741,411,5,5,ADA,JAKSEL
8650000000,225,518,4,4,ADA,JAKSEL
3650000000,78,185,3,3,ADA,JAKSEL
18500000000,660,600,5,4,ADA,JAKSEL
3600000000,164,150,4,4,ADA,JAKSEL
3400000000,95,156,4,3,ADA,JAKSEL
18000000000,786,1000,6,7,ADA,JAKSEL
17900000000,450,400,4,3,ADA,JAKSEL
4500000000,124,184,3,3,TIDAK ADA,JAKSEL
4500000000,300,235,4,4,ADA,JAKSEL
18000000000,600,500,6,6,ADA,JAKSEL
15000000000,741,750,5,5,ADA,JAKSEL
8000000000,380,450,5,5,ADA,JAKSEL
18900000000,470,660,4,4,TIDAK ADA,JAKSEL
21900000000,377,260,6,5,ADA,JAKSEL
5600000000,269,300,4,4,ADA,JAKSEL
4000000000,117,221,4,3,ADA,JAKSEL
20980000000,959,455,6,5,ADA,JAKSEL
3400000000,95,156,4,3,ADA,JAKSEL
25000000000,1100,550,5,4,ADA,JAKSEL
11500000000,400,416,5,3,ADA,JAKSEL
11510000000,233,544,7,7,TIDAK ADA,JAKSEL
3600000000,78,185,4,4,TIDAK ADA,JAKSEL
15000000000,250,460,4,4,ADA,JAKSEL
17500000000,518,450,5,7,ADA,JAKSEL
4000000000,117,221,4,3,ADA,JAKSEL
8000000000,350,350,2,1,TIDAK ADA,JAKSEL
20000000000,550,600,5,5,ADA,JAKSEL
30000000000,555,527,8,6,ADA,JAKSEL
27000000000,670,650,4,4,ADA,JAKSEL
20000000000,1040,600,4,3,ADA,JAKSEL
15750000000,598,243,4,4,ADA,JAKSEL
34500000000,974,800,5,6,ADA,JAKSEL
4300000000,124,184,3,3,ADA,JAKSEL
8500000000,230,310,5,3,TIDAK ADA,JAKSEL
9500000000,225,400,3,3,ADA,JAKSEL
19000000000,520,500,5,5,ADA,JAKSEL
13000000000,208,458,4,3,ADA,JAKSEL
11900000000,239,568,4,4,ADA,JAKSEL
13000000000,616,600,5,4,ADA,JAKSEL
20000000000,890,600,5,5,ADA,JAKSEL
7500000000,186,380,3,3,ADA,JAKSEL
6150000000,158,400,3,3,ADA,JAKSEL
10500000000,500,700,4,4,ADA,JAKSEL
13500000000,384,450,4,4,ADA,JAKSEL
55000000000,1475,1200,5,6,ADA,JAKSEL
19000000000,358,635,4,5,ADA,JAKSEL
13900000000,450,248,4,4,ADA,JAKSEL
29500000000,923,429,9,5,TIDAK ADA,JAKSEL
22000000000,455,570,4,5,ADA,JAKSEL
60000000000,1500,1200,6,6,ADA,JAKSEL
13000000000,314,450,4,4,ADA,JAKSEL
16000000000,895,420,5,5,ADA,JAKSEL
18000000000,968,600,4,3,ADA,JAKSEL
30000000000,1000,800,5,6,ADA,JAKSEL
47000000000,1375,1400,5,5,ADA,JAKSEL
6000000000,206,300,4,4,ADA,JAKSEL
9550000000,251,288,4,5,TIDAK ADA,JAKSEL
32000000000,973,1100,5,5,ADA,JAKSEL
19000000000,435,650,4,4,ADA,JAKSEL
55000000000,1500,1200,6,6,ADA,JAKSEL
17000000000,624,557,6,5,TIDAK ADA,JAKSEL
19000000000,870,700,6,4,ADA,JAKSEL
14700000000,474,455,4,5,ADA,JAKSEL
13800000000,260,360,6,5,ADA,JAKSEL
15000000000,450,400,4,3,TIDAK ADA,JAKSEL
10000000000,160,250,3,4,ADA,JAKSEL
6250000000,150,440,3,2,ADA,JAKSEL
7800000000,200,390,4,4,ADA,JAKSEL
6800000000,137,285,4,3,ADA,JAKSEL
15000000000,398,500,5,4,ADA,JAKSEL
19000000000,916,1000,5,7,TIDAK ADA,JAKSEL
6750000000,217,193,4,4,TIDAK ADA,JAKSEL
28000000000,330,300,3,3,ADA,JAKSEL
17000000000,921,310,3,3,ADA,JAKSEL
11900000000,260,365,4,4,ADA,JAKSEL
9530000000,150,523,3,3,TIDAK ADA,JAKSEL
10400000000,282,280,4,3,ADA,JAKSEL
6500000000,138,290,4,3,ADA,JAKSEL
15000000000,658,500,3,3,ADA,JAKSEL
6000000000,200,272,4,4,ADA,JAKSEL
6900000000,137,315,3,2,ADA,JAKSEL
16000000000,521,470,7,6,ADA,JAKSEL
19000000000,400,788,4,3,ADA,JAKSEL
25000000000,865,450,4,4,ADA,JAKSEL
15500000000,1100,600,4,4,ADA,JAKSEL
12600000000,540,800,5,4,TIDAK ADA,JAKSEL
7900000000,228,465,4,4,ADA,JAKSEL
20000000000,462,645,5,5,ADA,JAKSEL
5000000000,143,200,3,3,ADA,JAKSEL
18000000000,1900,650,6,6,ADA,JAKSEL
1100000000,90,180,3,3,ADA,JAKSEL
6500000000,427,300,4,4,ADA,JAKSEL
17000000000,407,850,6,5,ADA,JAKSEL
6500000000,217,195,4,3,ADA,JAKSEL
8500000000,307,400,4,5,ADA,JAKSEL
13500000000,429,600,5,4,ADA,JAKSEL
850000000,76,60,2,2,TIDAK ADA,JAKSEL
14000000000,460,500,5,4,ADA,JAKSEL
11200000000,371,250,6,3,ADA,JAKSEL
7700000000,200,373,4,3,ADA,JAKSEL
10000000000,388,343,4,4,ADA,JAKSEL
13500000000,282,380,4,4,ADA,JAKSEL
13000000000,410,800,4,4,TIDAK ADA,JAKSEL
27000000000,660,800,5,4,ADA,JAKSEL
19000000000,435,650,4,4,ADA,JAKSEL
7000000000,384,400,4,4,ADA,JAKSEL
27500000000,1068,300,5,3,ADA,JAKSEL
17000000000,465,640,3,4,TIDAK ADA,JAKSEL
10000000000,475,600,5,5,TIDAK ADA,JAKSEL
6800000000,210,275,3,2,ADA,JAKSEL
21000000000,754,500,4,4,ADA,JAKSEL
25000000000,1340,600,8,5,ADA,JAKSEL
16000000000,521,471,5,5,ADA,JAKSEL
6000000000,329,500,5,3,TIDAK ADA,JAKSEL
21000000000,1018,600,4,4,TIDAK ADA,JAKSEL
33000000000,1100,450,4,4,ADA,JAKSEL
2790000000,180,250,3,3,ADA,JAKSEL
8500000000,307,400,7,6,TIDAK ADA,JAKSEL
1930000000,111,135,3,3,TIDAK ADA,JAKSEL
14000000000,410,800,4,4,ADA,JAKSEL
12750000000,500,400,4,3,TIDAK ADA,JAKSEL
5000000000,188,260,4,3,ADA,JAKSEL
25000000000,1040,600,4,3,TIDAK ADA,JAKSEL
25000000000,1000,600,9,5,ADA,JAKSEL
85500000000,1500,1300,5,5,ADA,JAKSEL
5400000000,165,297,3,3,ADA,JAKSEL
14000000000,380,350,6,4,ADA,JAKSEL
5600000000,151,254,4,3,ADA,JAKSEL
38000000000,1390,750,6,4,TIDAK ADA,JAKSEL
30000000000,557,400,4,3,TIDAK ADA,JAKSEL
17500000000,518,450,5,7,ADA,JAKSEL
39500000000,1960,900,5,4,ADA,JAKSEL
15000000000,395,460,4,4,ADA,JAKSEL
13000000000,235,623,5,5,TIDAK ADA,JAKSEL
8500000000,434,380,5,2,TIDAK ADA,JAKSEL
45000000000,836,600,4,4,ADA,JAKSEL
10000000000,230,350,3,2,ADA,JAKSEL
20000000000,425,500,5,4,ADA,JAKSEL
5800000000,144,285,4,3,ADA,JAKSEL
20900000000,754,500,4,4,ADA,JAKSEL
24000000000,832,650,4,1,TIDAK ADA,JAKSEL
23000000000,800,400,4,4,ADA,JAKSEL
9000000000,256,245,4,4,TIDAK ADA,JAKSEL
1350000000,72,150,3,3,TIDAK ADA,JAKSEL
23000000000,800,500,5,4,TIDAK ADA,JAKSEL
14000000000,464,350,4,3,ADA,JAKSEL
15000000000,733,140,2,2,TIDAK ADA,JAKSEL
6500000000,500,400,17,18,ADA,JAKSEL
6800000000,376,352,5,5,TIDAK ADA,JAKSEL
10500000000,320,360,6,4,ADA,JAKSEL
20000000000,442,600,3,4,ADA,JAKSEL
16000000000,895,420,5,4,ADA,JAKSEL
15000000000,400,500,4,4,TIDAK ADA,JAKSEL
9000000000,240,380,3,3,ADA,JAKSEL
33000000000,1750,700,6,6,ADA,JAKSEL
6200000000,450,550,4,4,ADA,JAKSEL
40000000000,600,500,8,5,ADA,JAKSEL
14500000000,240,450,4,4,ADA,JAKSEL
25000000000,900,600,4,3,TIDAK ADA,JAKSEL
6200000000,376,352,4,2,ADA,JAKSEL
38000000000,2880,1000,7,6,ADA,JAKSEL
9000000000,350,650,4,3,ADA,JAKSEL
7000000000,251,325,3,3,TIDAK ADA,JAKSEL
9900000000,452,200,3,2,ADA,JAKSEL
15000000000,291,400,4,4,ADA,JAKSEL
16000000000,445,1200,6,6,ADA,JAKSEL
9000000000,300,300,4,3,ADA,JAKSEL
25000000000,700,500,4,4,ADA,JAKSEL
10000000000,468,410,4,3,ADA,JAKSEL
9500000000,350,430,4,4,TIDAK ADA,JAKSEL
30000000000,778,320,3,2,TIDAK ADA,JAKSEL
15000000000,923,900,5,4,TIDAK ADA,JAKSEL
20000000000,1050,650,4,4,ADA,JAKSEL
15000000000,530,633,4,3,TIDAK ADA,JAKSEL
5900000000,188,314,4,4,TIDAK ADA,JAKSEL
185000000000,6790,10000,5,5,ADA,JAKSEL
17800000000,430,500,4,4,ADA,JAKSEL
11500000000,375,400,5,4,ADA,JAKSEL
12000000000,340,600,11,11,ADA,JAKSEL
50000000000,325,500,3,3,ADA,JAKSEL
7900000000,266,475,4,4,ADA,JAKSEL
7000000000,250,280,3,3,ADA,JAKSEL
7000000000,230,400,4,4,ADA,JAKSEL
20000000000,600,890,6,6,ADA,JAKSEL
11000000000,575,210,4,3,ADA,JAKSEL
22000000000,1860,400,4,4,ADA,JAKSEL
20000000000,610,1000,6,6,TIDAK ADA,JAKSEL
16000000000,835,600,5,5,TIDAK ADA,JAKSEL
8750000000,158,400,3,3,ADA,JAKSEL
39000000000,1900,1000,6,5,TIDAK ADA,JAKSEL
10500000000,424,313,7,4,ADA,JAKSEL
14000000000,651,350,5,3,ADA,JAKSEL
11000000000,400,225,4,3,ADA,JAKSEL
24000000000,354,350,3,3,ADA,JAKSEL
14500000000,600,500,5,4,ADA,JAKSEL
8500000000,200,400,4,4,ADA,JAKSEL
9900000000,611,500,7,4,ADA,JAKSEL
21000000000,557,882,5,4,ADA,JAKSEL
6000000000,144,250,4,3,ADA,JAKSEL
14000000000,661,800,4,4,TIDAK ADA,JAKSEL
12900000000,539,610,4,4,ADA,JAKSEL
17640000000,503,541,4,3,ADA,JAKSEL
12000000000,600,500,4,4,ADA,JAKSEL
10000000000,237,250,4,3,ADA,JAKSEL
3790000000,248,248,4,2,TIDAK ADA,JAKSEL
9000000000,600,400,4,3,TIDAK ADA,JAKSEL
250000000000,6000,1500,5,5,ADA,JAKSEL
9500000000,274,258,3,3,ADA,JAKSEL
17500000000,518,450,5,7,ADA,JAKSEL
8250000000,159,278,3,3,ADA,JAKSEL
4300000000,123,190,3,3,TIDAK ADA,JAKSEL
4300000000,152,230,4,2,TIDAK ADA,JAKSEL
5620000000,122,311,3,3,ADA,JAKSEL
3250000000,240,200,3,3,ADA,JAKSEL
6500000000,144,285,4,3,ADA,JAKSEL
25000000000,1020,800,5,3,ADA,JAKSEL
23000000000,752,400,4,3,ADA,JAKSEL
17700000000,860,750,5,4,ADA,JAKSEL
7700000000,190,300,3,2,ADA,JAKSEL
16000000000,465,640,4,4,ADA,JAKSEL
6000000000,200,272,4,4,ADA,JAKSEL
15000000000,500,765,4,4,ADA,JAKSEL
25000000000,685,450,4,4,ADA,JAKSEL
20000000000,910,450,5,4,ADA,JAKSEL
15000000000,580,220,4,3,TIDAK ADA,JAKSEL
8500000000,246,221,3,3,ADA,JAKSEL
4000000000,125,125,3,3,ADA,JAKSEL
11500000000,400,300,3,3,ADA,JAKSEL
27500000000,1010,605,6,6,ADA,JAKSEL
6000000000,182,500,4,3,ADA,JAKSEL
17500000000,477,550,4,4,ADA,JAKSEL
17000000000,300,475,5,4,ADA,JAKSEL
7500000000,259,410,4,3,ADA,JAKSEL
28000000000,572,450,8,7,ADA,JAKSEL
7000000000,349,349,9,5,ADA,JAKSEL
9000000000,200,480,4,3,ADA,JAKSEL
39000000000,973,1100,4,4,ADA,JAKSEL
42000000000,2131,1600,5,5,ADA,JAKSEL
4000000000,219,103,4,2,ADA,JAKSEL
9000000000,490,350,4,3,ADA,JAKSEL
25000000000,1000,800,4,3,ADA,JAKSEL
3800000000,153,180,4,3,TIDAK ADA,JAKSEL
15000000000,506,400,3,3,TIDAK ADA,JAKSEL
17000000000,465,640,4,4,ADA,JAKSEL
7300000000,278,350,4,4,ADA,JAKSEL
8500000000,250,400,4,4,ADA,JAKSEL
55000000000,2641,1000,4,3,ADA,JAKSEL
17000000000,851,450,4,3,ADA,JAKSEL
17000000000,392,327,4,4,ADA,JAKSEL
10000000000,402,236,3,3,ADA,JAKSEL
12000000000,254,370,4,4,ADA,JAKSEL
10500000000,380,300,3,3,ADA,JAKSEL
17500000000,417,560,4,4,ADA,JAKSEL
5250000000,135,250,3,4,ADA,JAKSEL
13500000000,565,380,3,3,ADA,JAKSEL
10500000000,220,350,4,3,ADA,JAKSEL
17000000000,440,350,4,4,ADA,JAKSEL
7900000000,356,450,4,3,ADA,JAKSEL
18600000000,474,455,4,4,TIDAK ADA,JAKSEL
35000000000,1200,900,6,6,ADA,JAKSEL
25000000000,670,650,3,3,TIDAK ADA,JAKSEL
22000000000,754,500,4,4,ADA,JAKSEL
68000000000,2595,1000,5,5,ADA,JAKSEL
6500000000,266,350,4,4,ADA,JAKSEL
2500000000,200,120,3,3,ADA,JAKSEL
22000000000,754,500,4,4,ADA,JAKSEL
22000000000,888,450,4,3,ADA,JAKSEL
5100000000,120,210,4,3,TIDAK ADA,JAKSEL
9200000000,231,389,3,3,ADA,JAKSEL
36000000000,1200,850,5,4,TIDAK ADA,JAKSEL
7900000000,205,357,4,4,TIDAK ADA,JAKSEL
5800000000,250,350,4,4,ADA,JAKSEL
11000000000,230,350,4,4,ADA,JAKSEL
4900000000,340,210,3,2,ADA,JAKSEL
23000000000,806,700,4,4,ADA,JAKSEL
17000000000,440,350,4,4,ADA,JAKSEL
8200000000,188,330,3,3,ADA,JAKSEL
9500000000,251,295,4,4,ADA,JAKSEL
6500000000,266,350,4,3,ADA,JAKSEL
27000000000,900,400,4,3,ADA,JAKSEL
16500000000,600,400,7,4,ADA,JAKSEL
35000000000,2000,800,4,4,TIDAK ADA,JAKSEL
6200000000,142,311,3,2,ADA,JAKSEL
15000000000,912,484,6,3,ADA,JAKSEL
9500000000,251,295,4,4,ADA,JAKSEL
23000000000,806,700,4,4,ADA,JAKSEL
7370000000,211,465,4,4,ADA,JAKSEL
19500000000,850,750,3,2,ADA,JAKSEL
5800000000,122,289,3,3,ADA,JAKSEL
33000000000,1100,800,5,5,ADA,JAKSEL
22500000000,500,536,5,5,ADA,JAKSEL
4200000000,110,165,4,3,ADA,JAKSEL
16950000000,387,250,1,1,ADA,JAKSEL
13000000000,616,650,4,4,ADA,JAKSEL
18000000000,670,385,4,4,ADA,JAKSEL
7000000000,140,215,4,4,ADA,JAKSEL
5000000000,234,350,4,4,ADA,JAKSEL
38500000000,1420,550,8,5,ADA,JAKSEL
15000000000,395,420,4,4,ADA,JAKSEL
13500000000,230,400,3,2,ADA,JAKSEL
13000000000,372,450,4,4,ADA,JAKSEL
8500000000,250,400,4,4,ADA,JAKSEL
17000000000,786,1000,6,7,TIDAK ADA,JAKSEL
43000000000,1350,750,5,5,ADA,JAKSEL
13000000000,235,623,4,4,TIDAK ADA,JAKSEL
22000000000,1000,800,5,4,TIDAK ADA,JAKSEL
9950000000,212,300,4,3,ADA,JAKSEL
12500000000,512,350,3,3,ADA,JAKSEL
16000000000,578,500,5,4,ADA,JAKSEL
22600000000,754,500,4,4,ADA,JAKSEL
75000000000,1830,1000,5,4,ADA,JAKSEL
30000000000,1100,500,4,4,ADA,JAKSEL
20000000000,897,450,4,4,ADA,JAKSEL
15000000000,733,140,2,2,ADA,JAKSEL
19000000000,435,500,4,4,ADA,JAKSEL
8700000000,229,327,4,3,ADA,JAKSEL
25000000000,670,671,4,4,TIDAK ADA,JAKSEL
19000000000,520,600,4,4,TIDAK ADA,JAKSEL
35000000000,900,800,7,5,ADA,JAKSEL
18000000000,677,450,4,3,TIDAK ADA,JAKSEL
15000000000,415,150,3,2,ADA,JAKSEL
9500000000,350,460,6,5,ADA,JAKSEL
25500000000,1020,816,5,3,TIDAK ADA,JAKSEL
16000000000,1095,450,3,4,ADA,JAKSEL
15000000000,940,320,2,2,ADA,JAKSEL
22000000000,824,600,7,4,ADA,JAKSEL
6900000000,243,260,4,4,ADA,JAKSEL
20000000000,429,499,4,4,ADA,JAKSEL
45000000000,1466,900,9,9,ADA,JAKSEL
60000000000,2360,542,6,8,ADA,JAKSEL
10800000000,472,650,6,3,ADA,JAKSEL
56000000000,1470,2000,7,7,ADA,JAKSEL
14400000000,474,455,3,4,ADA,JAKSEL
60000000000,2630,542,6,8,TIDAK ADA,JAKSEL
9500000000,278,400,3,2,ADA,JAKSEL
19000000000,430,500,4,5,ADA,JAKSEL
40000000000,973,1100,4,4,ADA,JAKSEL
175230000000,4574,4271,4,4,ADA,JAKSEL
19500000000,834,780,6,3,TIDAK ADA,JAKSEL
17000000000,392,450,4,4,ADA,JAKSEL
16000000000,1095,450,3,4,ADA,JAKSEL
13000000000,407,850,4,4,ADA,JAKSEL
21000000000,817,500,4,3,TIDAK ADA,JAKSEL
19000000000,800,500,5,4,ADA,JAKSEL
1880000000,90,135,3,3,ADA,JAKSEL
5100000000,140,250,3,2,TIDAK ADA,JAKSEL
12000000000,572,432,5,6,ADA,JAKSEL
8000000000,350,350,5,5,ADA,JAKSEL
17000000000,389,450,7,4,ADA,JAKSEL
49000000000,943,600,7,4,ADA,JAKSEL
6000000000,144,250,4,3,ADA,JAKSEL
12000000000,230,300,5,4,ADA,JAKSEL
17000000000,470,660,4,4,ADA,JAKSEL
10500000000,220,325,4,3,ADA,JAKSEL
950000000,50,80,3,2,TIDAK ADA,JAKSEL
9500000000,462,350,3,3,ADA,JAKSEL
19000000000,358,500,4,5,ADA,JAKSEL
25500000000,1020,816,4,4,ADA,JAKSEL
2800000000,70,125,3,3,TIDAK ADA,JAKSEL
18500000000,358,500,4,4,ADA,JAKSEL
22000000000,780,580,4,4,TIDAK ADA,JAKSEL
5500000000,150,210,4,4,ADA,JAKSEL
10500000000,500,700,4,4,ADA,JAKSEL
17000000000,465,640,4,5,ADA,JAKSEL
5680000000,151,245,3,3,ADA,JAKSEL
15000000000,400,800,4,4,TIDAK ADA,JAKSEL
13500000000,615,500,4,5,TIDAK ADA,JAKSEL
4800000000,200,260,5,7,TIDAK ADA,JAKSEL
14000000000,350,250,3,3,ADA,JAKSEL
19000000000,520,500,5,5,TIDAK ADA,JAKSEL
17000000000,389,450,4,4,ADA,JAKSEL
13500000000,1034,900,6,5,ADA,JAKSEL
8500000000,307,400,7,6,TIDAK ADA,JAKSEL
9500000000,458,300,5,4,ADA,JAKSEL
40000000000,1050,800,27,21,ADA,JAKSEL
18000000000,900,500,4,4,ADA,JAKSEL
